architecture,precision_at_3,recall_at_3,recall_at_5,mrr,ndcg_at_5,family_accuracy,type_accuracy,protocol_accuracy,port_accuracy,snort_syntax_valid,rule_token_jaccard,hallucination_flag
agentic_rag,0.3125,0.9375,1.0,0.7953125,0.8469721214605213,1.0,1.0,1.0,0.90625,1.0,0.9643942008072443,0.0
rag_hybrid,0.3125,0.9375,1.0,0.7796875,0.8354386762596293,1.0,1.0,1.0,0.90625,1.0,0.9616768095028965,0.0
rag_classic,0.3125,0.9375,1.0,0.7520833333333333,0.8150938484432393,1.0,1.0,1.0,0.84375,1.0,0.9512601428362298,0.0
rag_rerank,0.3125,0.9375,1.0,0.7260416666666667,0.7953772936441312,1.0,1.0,1.0,0.84375,1.0,0.9482839523600394,0.0
multi_hop,0.3125,0.9375,0.96875,0.7979166666666666,0.8416965886189438,1.0,1.0,1.0,0.90625,1.0,0.9651382484262919,0.0
graph_rag,0.26041666666666663,0.78125,0.9375,0.6119791666666666,0.693775650591832,0.96875,0.96875,1.0,0.71875,1.0,0.9171875379470926,0.03125
baseline,0.0,0.0,0.0,0.0,0.0,0.75,0.6875,0.90625,0.46875,1.0,0.7625170567657834,1.0
